,total_students,lower_class,lower_middle_class,middle_class,upper-middle_class,upper_class,inventor,lower_class_inventor,lower-middle_class_inventor,middle_class_inventor,upper_middle_class_inventor,upper_class_inventor,top5citedinventors,total_patents,total_cites,type,tier,iclevel,region,multi,avg_students_per_cohort,frac_female_per_cohort,frac_married_per_cohort,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
total_students,1.0,0.8614119904777245,0.9284278780691317,0.9573671404296829,0.9777711358333401,0.8692021533221954,-0.180228556855826,-0.1525520041542142,-0.17547902126187978,-0.1704115304927844,-0.17271340575894312,-0.1762105622388743,-0.1432680218520865,0.4060354587335334,0.4116111602367831,,,,,0.5009553552399523,0.9987593873772677,0.04093376172382576,-0.014400675874619451,-0.016884330505329677,-0.1447250739700365,-0.22816517007011333,-0.234045475738567,-0.22735219028423567,0.15063688293613609,0.19704218114434457,0.23485026615770113,0.20369419778847137,-0.23725330493341532,-0.24115330820020126,-0.24442911110712173,-0.23577658339076,-0.21248290692826288,-0.20078062662397134,-0.1896940367193112,-0.21052516635312593,-0.2104251965770274,0.07708299888461163,0.08991588764303944,0.12677134984747548,0.23011939815172824,0.22313900131847617,-0.2231790849093037,-0.22139143165094388,-0.20871882111134918,-0.18404377570476227,-0.2078083418552302,-0.21476889996663942,-0.21046484602325954,-0.19725616554241418,-0.16278364011050017,0.04766786922254289,0.19934817523522638,0.17880098737765052,0.16556481222816918,-0.23174790829930794,0.06537601398351388,0.13498977480238722,0.2077112402246927,0.2164831966213905,-0.22958029414605627,0.09714705334580424,0.10392474459214554,0.25105524348266534,0.19648122071207916,-0.22942253461662515,0.055996935731509136,0.1088989892392919,0.23760149195993285,0.22021437869466312,-0.22507068093914406,0.0697114391224332,0.07388951324234531,0.17792054945524413,0.2165011037477938,-0.1888452955418331,-0.19579432472918043,-0.19424540381433483,-0.18131850574697872,-0.1786020746253993,-0.1691732723535619,-0.055695085438054986,0.010765581770569623,-0.0009834575495315035,0.033863958848578755,0.00018183501336096222,0.4481272294936667,,-0.18118185566366388,-0.12596751210444337,-0.0016750526645390002,0.2124650344998962,0.9528110200305278,0.9491104590691654,-0.4448454750835758,-0.43462603817361806,-0.23885034643097097,-0.22474015210375956,-0.04524267609560722,-0.013414794692891897,-0.21544951426277825,-0.20115406224210888,-0.19939258840842358,,0.3103381604507603,0.37036073650031887,0.02360415917263133,0.0294700240087889,0.010045511835613353,-0.17713374950472716,-0.2084669587861915,0.1609386940156498,0.18102121673870114,0.20718029430623033,0.07533940645660349,-0.10034488777099272,-0.07185602177300661,0.16210199504370426
lower_class,0.8614119904777245,1.0,0.9699192643168522,0.9042847337694212,0.8412242894851211,0.5740371047626807,-0.18059626228835107,-0.1515959245905743,-0.1724445839545863,-0.1669327762563713,-0.1709951863395287,-0.17047554362303136,-0.13168273387143276,0.2141123636485708,0.23856968388944488,,,,,0.56218358650597,0.8638304101401073,-0.024294941589505948,-0.24595474670837666,0.210282717939514,-0.10450913698500199,-0.3149235785975639,-0.388114883864832,-0.4784816340941756,0.493745937424816,0.4960964101840549,0.3897465390538196,0.178143507510673,-0.43063359821613073,-0.37967480467062953,-0.3465194861075803,-0.29779186931786644,-0.25658185758251695,-0.30010310761244086,-0.2639418585429022,-0.2800715390811749,-0.28481332057883474,0.12200417312055972,0.1335883635534587,0.25366210592909816,0.34908430867832463,0.2391901870504173,-0.31008301284245887,-0.30051294158554653,-0.2844702477302104,-0.2459598281511088,-0.27715616310545294,-0.2915478002706712,-0.28207023336049686,-0.26331686081794875,-0.2522931109020704,0.08920490744694799,0.26573608733159976,0.24662612788104576,0.13882479215794835,-0.2862470352412629,0.09774166911468375,0.23461155990926674,0.28877774524911076,0.2012240985422265,-0.29122103473975575,0.12065249699555243,0.1943065697235325,0.33499112073640397,0.18966076252499922,-0.2871393358594198,0.062033097665918885,0.2021414410470903,0.32525795263434093,0.21594191979822608,-0.2769664750900775,0.09908718033560272,0.17665697463593255,0.2860645974859022,0.2478703596846521,-0.2685407546534887,-0.22912467931589603,-0.23035968449008676,-0.23137090575900568,-0.22447782680054554,-0.2319401347906741,-0.22215287510504345,-0.18097042006152556,-0.19034526271402538,-0.1475044744730561,-0.1997964488198931,0.3838422892043485,,-0.20497193571762656,-0.16624283083018712,0.09496926414438138,0.10429244475629681,0.8862847948000346,0.8160091714262273,-0.41876099866282784,-0.4037678635484087,-0.4051840356016723,-0.3515472248439021,-0.1259297863973527,-0.10901200670560096,-0.17026027759063922,-0.19511602714812856,-0.2744901759906885,,0.17628337307456812,0.2167984082116946,0.1370419682173244,0.17938862076124043,0.1597883463808995,-0.11505358673443104,-0.20537541534731435,0.10009940029865337,0.19695585585370065,0.22558840804751193,0.10545891739872555,-0.05835873701942057,-0.1351540050608965,0.2629490688336457
lower_middle_class,0.9284278780691317,0.9699192643168522,1.0,0.9775664675039261,0.9336316584461447,0.6397126516757702,-0.18361735368867585,-0.1508158480683907,-0.1751913190162584,-0.16799354833433722,-0.17379846460794296,-0.17599832921643158,-0.13285807961472368,0.24180046209282546,0.2641064763741404,,,,,0.558991364061836,0.9263758712340449,-0.0065670618686279976,-0.14168963374449442,0.070260458164311,-0.16037849187368233,-0.31490855761508524,-0.3694690965556468,-0.4227638994833262,0.3584358795188905,0.4165861482280983,0.4019629453930916,0.25318757302165834,-0.4122976343866041,-0.37665819544685863,-0.3466541090536994,-0.3021539446287233,-0.2653602460920098,-0.3076005280189241,-0.281511114927757,-0.3003053975813465,-0.30794446680636106,0.09412921170993392,0.1087889535351101,0.2474198062848569,0.37031643293477307,0.28866534453343196,-0.3324608671711544,-0.3229554720735724,-0.30647682599856196,-0.26415677799178944,-0.2984091768660171,-0.30673365419897164,-0.2987918061902462,-0.27811620145413646,-0.259831874106376,0.07566896918554034,0.2828874429524273,0.27772990703157274,0.181237740508247,-0.32013695906336925,0.08140410824952657,0.24084734860254434,0.3174066605248064,0.24649437960243856,-0.32060355869429075,0.10328369823234086,0.19639325325098742,0.3681466163826655,0.24240016086353366,-0.31974170406688607,0.04270778903441843,0.20155726547890349,0.35290090725211903,0.2689760594868917,-0.3079453076512536,0.07956091392353518,0.17192752755567714,0.3082613401193842,0.2938906238417345,-0.2910988692398121,-0.24579451643731776,-0.25022618858403434,-0.2524782333732482,-0.24772848248073223,-0.25104938951057504,-0.14891220782288742,-0.08829660942245898,-0.0892014807423907,-0.05194306093592357,-0.10947645326068643,0.4041837242876965,,-0.22654052394006188,-0.18546816578316383,0.07814053258373664,0.11516686688037195,0.932567518152481,0.8677715575906266,-0.43319402161280907,-0.41669819474451253,-0.39636597222588327,-0.3511686466321239,-0.15732673966859378,-0.13583323368191133,-0.16639840728488267,-0.24529212610396506,-0.29490419824178465,,0.15531496285927462,0.19660732462295347,0.024267897509487036,0.13844428361171895,0.05361541459666192,-0.14564146128832034,-0.21010536413749115,0.13197776192939709,0.22132085974290605,0.2109961330029509,0.12390797239612633,-0.08230137382934576,-0.13211751353700524,0.2451615716383354
middle_class,0.9573671404296829,0.9042847337694212,0.9775664675039261,1.0,0.9819560088204802,0.6934583069747307,-0.1726874469322181,-0.14110179476010515,-0.16497090352810312,-0.15809085003735823,-0.1634278191141236,-0.16704020384291943,-0.12604936737798036,0.2808849891891306,0.29891877352694646,,,,,0.5292079268438095,0.9531312499234373,0.01065433503041764,-0.034067624951542315,-0.024114896013279156,-0.18409386551323986,-0.29566318264193997,-0.32585224346675273,-0.3405754981742651,0.22300625314710504,0.3041026220448483,0.37277701253150425,0.3000637286162004,-0.3615489020451905,-0.3458969435450769,-0.3248360424052418,-0.290139573024756,-0.259035620185246,-0.281770219177389,-0.26989961827129555,-0.2858900016444266,-0.29361799403633243,0.0716941343566413,0.08710490869498481,0.2112257320550033,0.34291324802913836,0.2971300109746397,-0.3137780633046191,-0.3084596424930693,-0.2952235154205195,-0.25705992014730444,-0.28526537872279584,-0.28952820806976626,-0.2819191327188282,-0.2623274514386098,-0.23730584421258605,0.06618641347077106,0.267587416332675,0.2673920235220752,0.19078914918032114,-0.311403794639771,0.07083635186783531,0.21812731045909595,0.3025622587273087,0.25580356024097944,-0.3098562368431975,0.0863431955366238,0.17520684921366214,0.3526173430544465,0.25616572242249774,-0.3107280900268882,0.0349109300280156,0.17354861095329355,0.3338185439972095,0.2829346343076603,-0.299744026014569,0.06135601473424708,0.142888842369909,0.28712806476629027,0.298625527277193,-0.2755394348351001,-0.24190778737020566,-0.245764109317553,-0.2493638594769275,-0.24473623704212064,-0.24466762556949578,-0.06665936707901712,0.006376039839531812,0.010105753071749603,0.040525382614368964,-0.017000900710813272,0.40884061234908364,,-0.22388807741603028,-0.17983699725806526,0.015025840908359843,0.12717602758389554,0.9408258027626935,0.8894856018204169,-0.4274555478284319,-0.41162157238922104,-0.350824455279716,-0.31687603578184814,-0.15577996267187005,-0.1305386273661169,-0.16901494636389972,-0.26464875095748214,-0.27910208052684143,,0.15732994569546616,0.19747654580263604,-0.030461746221002613,0.05007423079253175,-0.02306337717874816,-0.16036045093283838,-0.2029552427362248,0.14478606617385273,0.22093669905863195,0.20121717216609739,0.12096327734941083,-0.09483435075920338,-0.11503201040592749,0.20860039225336838
upper-middle_class,0.9777711358333401,0.8412242894851211,0.9336316584461447,0.9819560088204802,1.0,0.7787749060566945,-0.17646905250990413,-0.14458344628859934,-0.16914440330295352,-0.1618272232130409,-0.16828215462789178,-0.17181832656426005,-0.13209530614441056,0.3384582833482399,0.34772412039001943,,,,,0.4937111297594331,0.9728994203813627,0.03275175829879905,0.036187977893681125,-0.07458215061285048,-0.20588988151262547,-0.29535382085398015,-0.29675089410826433,-0.2759382332986865,0.13494040286139805,0.2180155839481484,0.31941329782639505,0.3232233432376446,-0.3118247766854973,-0.322878635424984,-0.31973355544390675,-0.2996508128147828,-0.27335218385002846,-0.2551886709651436,-0.2635436835759233,-0.2729060384274099,-0.27950329056657564,0.06228936344391005,0.07774886052488264,0.1685154599820866,0.30446196125227326,0.3031686117983471,-0.29102565733914953,-0.29365366186511555,-0.2876367112318758,-0.26017014161944496,-0.2650405091690495,-0.2694569720254052,-0.26398265890447337,-0.24650222238075828,-0.2132376551468803,0.04765430200581358,0.2459481861983252,0.24915278556817097,0.21104844110521492,-0.29877538421198,0.06077106874459345,0.18489763318373387,0.2802673396153106,0.271634193389827,-0.2959871359428542,0.08660109634761326,0.14481760723318227,0.32453204907020805,0.26647535526262717,-0.2967097307705043,0.03858238562918201,0.14318491385236803,0.30380414479554463,0.29269947761733406,-0.2874701133095096,0.05548396223852009,0.10642740377920432,0.2510863203224984,0.2987381109609529,-0.254205255806104,-0.24943110753742323,-0.25478957710177386,-0.25487387137164064,-0.25116559913055364,-0.24735335360011748,-0.021384931381026397,0.05997962149525501,0.06799259586805659,0.10035823714835623,0.04886169194072491,0.4516513522348149,,-0.23342695827444773,-0.1827921863944679,-0.014536358643453411,0.1664534511215405,0.937568996968936,0.912766183249428,-0.46026402328799326,-0.4477267583054416,-0.31149123114555605,-0.2934633400146643,-0.140240717392751,-0.10658691397491588,-0.1950339915252902,-0.27362676910324457,-0.26286603458499536,,0.1963009039349176,0.2465105129014395,-0.054086320852535556,0.014505693988787184,-0.05903889497385937,-0.18810559331600643,-0.20981090238372188,0.16795994771288078,0.21842366799143392,0.19560382039765384,0.11578236682087771,-0.10548489468919722,-0.09689064502600851,0.16815525088904415
upper_class,0.8692021533221954,0.5740371047626807,0.6397126516757702,0.6934583069747307,0.7787749060566945,1.0,-0.1438855717644964,-0.13060788837471446,-0.14626215380670013,-0.14614490596600874,-0.1410859871074565,-0.14514277780684967,-0.13534792641566454,0.5475311156914606,0.5305089169991625,,,,,0.3350340995531366,0.8722795781038802,0.0898058609541603,0.0666754579904088,-0.05255206979998175,-0.04347487180818608,-0.02765838090094461,0.013879402595663398,0.06742265375948335,-0.07901112603511234,-0.08643486418001868,-0.06996558184591552,-0.007205883309130717,0.06473026599196909,0.02716586518033965,-0.016437872149244453,-0.05771431472251775,-0.05642072583669303,0.0020957564618257515,0.013398579694376146,-0.01628262865930345,-0.002186899997658221,0.05619872528930859,0.0620439690926071,-0.06293685565748988,-0.03165921222301409,0.035354230693031195,-0.0009482933401960892,-0.003093832432301879,0.009177450215004847,0.007734846077481601,-0.01673058771851886,-0.023298344600137952,-0.025528726609380534,-0.026758816419515195,0.018103838714976252,0.0046551135815966,0.027446510666440438,-0.025140151764642828,0.07670989143217657,-0.030559803263568573,0.03634725082670967,-0.049885482431061855,-0.015814664197724104,0.09148136083088355,-0.026266419927498123,0.08084839562776035,-0.0521981943079634,0.009122317680276866,0.04437526292730369,-0.026077895921382967,0.0725651344584349,-0.04010351723402845,0.007446436374873408,0.05708570082990319,-0.03477243830823097,0.05842399626161664,-0.07248592929316754,-0.062120216600085265,0.015441654124975685,0.016607174599702502,-0.053289365397644534,-0.040524913559379434,-0.0014700711285722569,-0.0030912145724924125,0.0230689985511485,0.013644929166218974,0.05740029488379925,0.01907239945378212,0.04740369101320446,0.06334858686742867,0.3959608026174767,,-0.04931141899189583,0.01258263677369192,-0.055567947978033896,0.3127501315004249,0.772179620611994,0.8537387235470113,-0.34946049575104143,-0.35034856985229273,0.041387732736322534,0.01579236449010953,0.16774447611649276,0.20217991974316518,-0.2381660137497894,-0.044286899543852364,-0.0007799218064286925,,0.5093516312204123,0.5866478434687059,0.08280983812012667,-0.05664978949257417,0.027877945558753555,-0.16413837744100684,-0.16183831924494183,0.15317981523380853,0.06630667498718192,0.16517106792438713,-0.026961621497155735,-0.09321317913801273,0.02873648736373697,0.03524147907309343
inventor,-0.180228556855826,-0.18059626228835107,-0.18361735368867585,-0.1726874469322181,-0.17646905250990413,-0.1438855717644964,1.0,0.6870562843737065,0.9343810000447696,0.9616222617651651,0.9622537731469893,0.9894547468263214,0.8286028993899461,0.4580120696228713,0.2632745084591698,,,,,-0.07731282583908289,-0.17037678134593728,-0.511292019044639,-0.030116165708163025,0.2003728618081075,0.43995544468861414,0.09227992984515221,0.15407981110729638,0.17410574602065557,-0.13544794433357119,-0.1741725653013415,-0.18008810972602016,-0.11102284747541176,0.17482351916564073,0.15687149728679609,0.12312181613450489,0.07100336702427804,0.059906372999330645,0.47839948842968416,0.49272728240308705,0.5594244506862521,0.5601368913823491,-0.22990236208670795,-0.24617010952625598,-0.36911209576704795,-0.4172063829266228,-0.5341857910001925,0.5101200744674033,0.559281509921525,0.5187439008518001,0.39893798654684565,0.48616108180907985,0.4702278134471865,0.45650305091266574,0.48013990814555685,0.47701791590487796,-0.18321607124107858,-0.33453942469105113,-0.31300281946029834,-0.5085473235706692,0.5163071508966042,-0.1390426961167766,-0.31701693125362684,-0.39194938235401294,-0.5135159033731428,0.4989073303072049,-0.13026568705043712,-0.3350209344279092,-0.3950188480026464,-0.5469188627803344,0.5100823616160365,-0.1863650381770697,-0.35669093161368953,-0.4217492363123186,-0.5255643163434522,0.5205574360520941,-0.25339271694979143,-0.34318957316561993,-0.4277982394959421,-0.5205443914444553,0.5139283646047842,0.42689993090751266,0.4082923761704356,0.408041422031347,0.41326705135570624,0.3987025913223695,0.10310413685311311,-0.03611713756933838,-0.03263480070324399,-0.10692118230451904,-0.05464796053069443,-0.2819479569658732,,0.4846541057156283,0.3774467591195498,-0.04329694951305607,-0.0715229594653414,-0.19298467982564577,-0.17461893250272717,0.3170463884295967,0.30128940993512165,0.26140822645435136,0.25820584599845287,0.32842917266305455,0.35881635646624144,0.08915934877302145,0.35537206303849395,0.56468338393579,,0.07759851692659628,0.07038052562831514,0.26030715403176347,-0.11641655511823817,0.031036244265571018,0.2434506881192705,-0.038189062680840546,-0.2919609593121068,-0.24358760376005623,-0.22068617173031208,-0.21373519871906832,0.7409844205272069,-0.4314441572958075,-0.04627026357975244
lower_class_inventor,-0.1525520041542142,-0.1515959245905743,-0.1508158480683907,-0.14110179476010515,-0.14458344628859934,-0.13060788837471446,0.6870562843737065,1.0,0.6710846729630067,0.6273014010032475,0.6242532491586769,0.6676641689808317,0.7254850878183614,0.28814805041707015,0.1610586212013728,,,,,-0.06576744720019528,-0.14655634203325674,-0.4089449356969963,-0.01255900186754037,0.12706080185285437,0.21718153264764026,0.02391689279277997,0.05945753204399885,0.1001452435645213,-0.09069149095265985,-0.09878832097968686,-0.11287153914321238,-0.015644456116715284,0.0869161137301589,0.0674701496935384,0.04648669060994763,0.011137605337061771,0.006940458722573839,0.31185289060371635,0.2734892143393548,0.3672677182791728,0.3604200565049404,-0.1608158138641014,-0.15575055784307226,-0.22472025261514372,-0.27835737431873175,-0.37836335331360693,0.3429705237262178,0.3728391890041572,0.31834307031450465,0.19577755190432075,0.33173570659459123,0.31382839609862045,0.2762329452721274,0.32985730599007795,0.30730484453813717,-0.12996393946690557,-0.1951041616961229,-0.19696327587681423,-0.28769419609386865,0.31026788249261367,-0.07964708070863806,-0.22761205172306162,-0.2307056710578855,-0.41296757033857345,0.35201309680865867,-0.05124766162517346,-0.1756912016013728,-0.29152209500250015,-0.3706532444072819,0.33224962366750865,-0.14566527341054913,-0.25041630643829194,-0.319105110718532,-0.34217707402363967,0.3635565209875888,-0.15788554335582763,-0.18945264039537332,-0.27046020486403927,-0.397188347325615,0.34912116339625593,0.2081860478577844,0.22813507425916588,0.17333360729426298,0.22689102436746145,0.19304488488649563,0.10589504392297086,0.007886289969951589,0.01090230499764142,-0.05366752324505732,-0.051691234402591095,-0.2250235069803997,,0.24390937659019873,0.17695627889092802,-0.03516569977966407,-0.05277194371793935,-0.15994972634904284,-0.15342300774026793,0.22597758149458916,0.20607294754448824,0.1258933058718038,0.140220861694561,0.1206244562010109,0.16183754862702618,0.22810107095073462,0.21172762860994424,0.3758704210979758,,0.0008757621974215735,-0.002857913171096351,0.14047136622525766,-0.07825017758770482,0.0017571122421818402,0.24439064323917772,0.12746574812923211,-0.10507753189017277,-0.20636293922351656,-0.1974986247901418,-0.1943302445078713,0.446397191565744,-0.4066594809729424,-0.013915581335000008
lower-middle_class_inventor,-0.17547902126187978,-0.1724445839545863,-0.1751913190162584,-0.16497090352810312,-0.16914440330295352,-0.14626215380670013,0.9343810000447696,0.6710846729630067,1.0,0.9071309364320824,0.8866767608153824,0.9013306567438317,0.7595390589757717,0.3797772939532616,0.21635253840720103,,,,,-0.06748057162212913,-0.16750547659337703,-0.4907180169738748,0.005713107921993328,0.1823351235188274,0.3951265050734732,0.09940785064017806,0.16235860118845039,0.17654467653485528,-0.13735944068529643,-0.17231147091870685,-0.18661152601414271,-0.11071778766305396,0.17660295675104357,0.1586667505369383,0.12430556833425448,0.07686406715812719,0.06780675231232211,0.47644142807161305,0.47183362967644543,0.5487114349226437,0.5474515575581717,-0.23462712066363015,-0.2459137755382152,-0.38947340234669614,-0.40832541685778406,-0.5086212626568466,0.5009324700591228,0.5433257782461105,0.5009183212945502,0.38116532498670735,0.47878046207184805,0.47408666941304056,0.4611435376141899,0.4707589632304459,0.4753788675747545,-0.2071702334990892,-0.33715994030800955,-0.2919910604988188,-0.4586241943549409,0.49368356610187397,-0.1745252125175446,-0.3312960711427687,-0.3841174351751057,-0.47434652855942205,0.49049809987702475,-0.14632397161069127,-0.3545118275345335,-0.3887581935215765,-0.524688875474282,0.5066745226536633,-0.1798631976136514,-0.36974510594424437,-0.39919152718820006,-0.5002234111093352,0.5024421819319445,-0.24419785969473823,-0.37015486365219624,-0.4235608515794076,-0.49493260530725963,0.5053062402082567,0.4034700866185588,0.39019795136599017,0.38834606704853114,0.3891332545561141,0.379199424889211,0.10277171890864704,-0.010917702099549504,0.006574091343789604,-0.06000907678186965,-0.021785447945280756,-0.25357784415506446,,0.4454610545099132,0.3394375614869021,-0.03866941724004744,-0.07662598207285379,-0.18623047245640317,-0.17369367084865078,0.2937844990081754,0.28342304979152433,0.2468191509332202,0.25603432212595967,0.300937307920302,0.3050132131293028,0.057519918638693435,0.3374878407275087,0.556588114513556,,0.04054824709513296,0.034690246453223626,0.22154061090343768,-0.11687588713258422,0.040508572807102516,0.21192557509369328,-0.08775373434604075,-0.27100976355612744,-0.22968249303820332,-0.20670899922064986,-0.21986511958874258,0.7173090609674926,-0.38382997493507465,-0.03742613496465433
middle_class_inventor,-0.1704115304927844,-0.1669327762563713,-0.16799354833433722,-0.15809085003735823,-0.1618272232130409,-0.14614490596600874,0.9616222617651651,0.6273014010032475,0.9071309364320824,1.0,0.9162558303794569,0.937414092334719,0.783144242642504,0.40270616899660394,0.21736436795816447,,,,,-0.06879333343414411,-0.1624643081713128,-0.48794443422410255,-0.007719021102570492,0.19763965929047958,0.3988634512318854,0.05133051775069192,0.12163337078380489,0.14708580310316607,-0.12265382036040764,-0.15393574339082552,-0.14874402213232996,-0.08028596187566263,0.1450187614669047,0.12423770902563974,0.08709694188253576,0.03641715003141979,0.022810179222466778,0.4646980913690808,0.45070106516772174,0.535206218653117,0.530887474875058,-0.24301176407409894,-0.25440471535147974,-0.37698787716788246,-0.39357288793500583,-0.49340411151560354,0.487897107891533,0.5298068466087263,0.48363408912004974,0.3553578137345134,0.48880904777253,0.448999677437189,0.44826567042697624,0.4695130883193273,0.46353441137531554,-0.2196981865369572,-0.32864728463332593,-0.2932716646242038,-0.46597440564329007,0.49762867392477544,-0.14660942856996395,-0.3084464590776534,-0.36453608052988973,-0.48981554076914746,0.47672133004425354,-0.1478105718524798,-0.3510377687382293,-0.36210544592356725,-0.5169526517862488,0.49281489962703995,-0.20131097886056568,-0.3643767705292013,-0.4032491372643994,-0.48830223362705305,0.5011294134512998,-0.2553936555959004,-0.35659578684721155,-0.4074018842160866,-0.4756221931513702,0.49059988447388514,0.3856721097020329,0.3655042833179478,0.36006954285291654,0.37469272487361693,0.3548969972386211,0.10295895163298237,-0.0004868703673736021,-0.009130019933234453,-0.07014616384494153,-0.030727940662291394,-0.2488798021452766,,0.42242129252038596,0.31433990101815856,-0.034789537293916054,-0.07791515729871036,-0.17978363157259158,-0.16922030531151647,0.2814665105168729,0.26648057942323944,0.22202667251772992,0.21716903777975952,0.2908485732814479,0.310939446194185,0.07823176472864099,0.30536525261949443,0.5432128529125871,,0.03477303537628676,0.028457759623861024,0.24330357045990886,-0.11313085033164512,0.03174196858740983,0.2258888563206368,-0.07794302793968752,-0.2776242121823276,-0.21172993641451326,-0.22452274997148963,-0.184767257373382,0.7346915700179434,-0.4222956666796443,-0.04115337063166009
