super_opeid_x,college_name,total_students,lower_class,lower_middle_class,middle_class,upper-middle_class,upper_class,inventor,lower_class_inventor,lower-middle_class_inventor,middle_class_inventor,upper_middle_class_inventor,upper_class_inventor,top5citedinventors,total_patents,total_cites,type_x,tier_x,iclevel_x,region_x,multi_x,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
1,University Of Hawaii And Hawaii Community Colleges,27002,3205,4527,5628,6957,6685,0.001037,0.000312,0.0006627,0.000533,0.0007187,0.0023934,6.9e-05,22,55,1.0,5,1.0,4.0,True,5860.333333333333,0.52249587,0.43641827,0.017558586,0.00028338036,88667.91568267945,75200,0.5756256519022482,0.10804315,0.16466863,0.21406829,0.26126996,0.25195,0.095550217,0.033389255,0.0045872247,0.00033712146,0.56576109,38812.30062683081,35600,39500,0.118687,0.13144912,0.14889038,0.21300572,0.27083701,0.23581779,0.10341482,0.039504401,0.0032624404,0.49833518,0.54194605,0.55119717,0.58954531,0.5979501,0.17890859,0.19025581,0.25364596,0.21467508,0.16251457,0.146209,0.16324069,0.22310919,0.26656386,0.20087723,0.13582498,0.15896252,0.22519937,0.27534613,0.20466706,0.10708243,0.1339041,0.21353556,0.29357272,0.25190514,0.12300055,0.12875555,0.17806493,0.27030569,0.29987323,0.0026228444,0.0017300138,0.0026813976,0.0022040375,0.0061295107,0.40867454,0.42178002,0.43480551,0.44930387,0.44589067,0.0,False,True,3,5207.2744,7919.5024,False,False,52848,44579.0,5409.6592,1969.9886,0.2884386384656721,0.3048724963685285,8433.6689,55337.16477366557,1057.0837,1063.5869,5085.373,0.21167371,35276.055,1354.9266,91131281.4833674,67457999.93570964,0.71655345,0.011713986,0.018802796,0.039462555,6.6817074,23.255814,6.7164178,23.654982,5.1023951,11.714683,17.216244,5.6577578
26,University Of Colorado System,31081,1205,2257,3697,6042,17880,0.0084618,0.0033195,0.0035445,0.0059508,0.0076134,0.0102349,0.0005655,513,1230,1.0,5,1.0,4.0,True,6414.666666666667,0.51252341,0.56645828,0.012256199,0.00050701405,274593.0041246623,128200,0.763896480732315,0.037007682,0.067937747,0.12318254,0.193055,0.57881707,0.41382456,0.27911937,0.082355857,0.010595883,0.65163875,60883.52901107163,48300,53200,0.10284811,0.11231558,0.11524305,0.13718545,0.21272942,0.42252654,0.25802237,0.14976387,0.034540001,0.60181803,0.6234625,0.62053776,0.63790244,0.66933161,0.13605069,0.14138977,0.15306109,0.23831856,0.33117989,0.1230427,0.12924488,0.15635392,0.22204629,0.36931217,0.12583187,0.13302852,0.1539617,0.22541566,0.36176226,0.11654599,0.11682189,0.14609669,0.23407394,0.38646153,0.10525146,0.10761619,0.12737808,0.2001808,0.45957348,0.013700237,0.017645342,0.024563365,0.019050818,0.045144778,0.51110262,0.52684015,0.55252534,0.55951917,0.57992721,0.0,False,True,3,4771.0576,12817.367,False,False,48326,49755.0,9537.6387,3071.1389,0.5752182818580093,0.566076364337178,9471.7119,64700.46481911131,1136.2921,1165.0,11813.776,0.14849794,53648.348,7114.6196,301497273.6385797,162719814.9653301,0.067123838,0.026558535,0.070961647,0.02418481,14.131591,18.948488,1.291597,4.2242818,0.0,25.528034,35.876007,0.0
63,University Of South Carolina System,22910,2172,3249,4203,5648,7638,0.0018769,0.0,0.0021545,0.0019034,0.0012394,0.0027494,4.91e-05,42,148,1.0,5,1.0,3.0,True,4538.666666666667,0.58188897,0.56708586,0.016827494,0.00044944926,109065.3249308029,85400,0.6212258901136252,0.093693405,0.13901599,0.18579093,0.25298145,0.32851827,0.16756356,0.07979966,0.011948984,0.00064700464,0.60748792,46555.86691208872,39600,42300,0.093917899,0.10365765,0.12851502,0.19761592,0.27978373,0.29042774,0.15084982,0.073672086,0.014841774,0.54977,0.57910854,0.57862735,0.60822624,0.65171134,0.1096435,0.17998955,0.26381758,0.26694772,0.17960168,0.10014457,0.15229206,0.24324267,0.28351927,0.22080144,0.1211894,0.13895154,0.21235275,0.28739673,0.24010955,0.10582192,0.1152392,0.19212367,0.30803782,0.27877742,0.091855466,0.10809395,0.15532285,0.25580075,0.38892701,0.0047970214,0.0074547534,0.0067410921,0.0092112757,0.029749574,0.37731916,0.44111532,0.5570603,0.61969906,0.63966709,0.0,False,True,3,5584.9351,8421.0615,False,False,38627,35048.0,10372.989,3608.8394,0.577945095409281,0.5218190993330202,8197.8281,60577.40219612482,1104.8624,1050.1914,9975.8447,0.3740499,39789.398,9249.1328,185906681.6989929,119830763.4167142,0.024241015,0.20077425,0.015144877,0.018224228,7.6246977,22.808174,7.6686444,19.490221,4.0430675,13.469567,24.895628,0.0
64,"West Virginia University, West Virginia University Institute Of Technology, West Virginia University - Parkersburg, And Potomac State College",21615,1695,2900,4443,5754,6823,0.0025908,0.0023599,0.002069,0.0024758,0.0022593,0.0032244,9.97e-05,80,70,1.0,5,1.0,3.0,True,4418.666666666667,0.47450212,0.59289235,0.016364807,0.00068705872,109372.1535890587,86700,0.6356033480708759,0.076165147,0.12154557,0.19877377,0.27477086,0.32874465,0.16207333,0.075873308,0.012364236,0.00046025627,0.63013411,51563.24542129508,42700,46700,0.093555547,0.10251215,0.12547353,0.16787878,0.25027171,0.35386387,0.19818248,0.10187144,0.01919727,0.52107221,0.57418716,0.60699111,0.64521956,0.67747176,0.17927639,0.1823087,0.22394158,0.19961387,0.21485953,0.13207692,0.15392812,0.19759132,0.25811559,0.25828806,0.10568647,0.13872671,0.19518547,0.26905969,0.29134172,0.0876991,0.11577108,0.16738608,0.25609693,0.3730469,0.084257856,0.1018813,0.12780534,0.24287939,0.44317612,0.0090206442,0.0089333123,0.012095166,0.016986284,0.031492129,0.49523807,0.51640677,0.59915692,0.62547797,0.61277258,0.0,False,True,4,5070.0688,9680.9404,False,False,29100,28700.0,6243.6421,2642.6992,0.5170446579924879,0.5265860617705669,8466.8828,54262.1504127931,1036.1779,1019.9548,6928.2788,0.16621982,42151.66,642.7688,266455466.1578305,123772789.6102909,0.014731006,0.039834619,0.0099595683,0.018959012,5.4956894,18.022629,12.661638,16.217672,2.3976293,23.302801,19.800646,2.1012931
71,University Of Nebraska System,28559,1388,3454,6116,8661,8940,0.0041318,0.0014409,0.0026057,0.0037606,0.0046184,0.0049217,0.0001152,132,270,1.0,5,1.0,2.0,True,5828.666666666667,0.51738536,0.68910116,0.012720068,0.00040815069,115012.8428497262,89400,0.6589016150681034,0.044165567,0.10762726,0.20541333,0.31616646,0.32662731,0.15296221,0.073566742,0.0122106,0.0010036059,0.65554863,52762.25348336705,45200,47400,0.069118947,0.075967759,0.10052973,0.16530043,0.30176929,0.3564328,0.17957312,0.090472244,0.017973633,0.60891646,0.63124043,0.64404017,0.65840924,0.67433268,0.10214936,0.13383469,0.19078988,0.28521734,0.28800872,0.08339268,0.13098602,0.16962232,0.29292035,0.32307866,0.07710363,0.099470735,0.18056169,0.33047387,0.31239012,0.07070636,0.095784269,0.16854116,0.31293935,0.35202894,0.074359544,0.091250174,0.14769509,0.27805889,0.40863636,0.0092413779,0.011788421,0.011174255,0.015123287,0.028227614,0.61391217,0.66926014,0.69457865,0.70069104,0.69114262,0.0,False,True,3,4450.4966,7258.0063,False,False,37513,42487.0,7393.4087,3206.3628,0.5850143454154636,0.489405044154529,8866.502,61393.69949133733,1121.2971,1155.0,10589.998,0.30647621,42409.016,6824.6523,222105156.6330895,141767777.8808647,0.019008823,0.030850995,0.020437011,0.028347135,8.4330893,26.47847,2.5906737,2.8944077,4.5917459,24.155798,30.194748,0.66106844
108,University Of Pittsburgh System,22009,1188,2540,4322,6156,7803,0.0065428,0.0050505,0.0082677,0.005553,0.0063353,0.0069204,0.0001806,206,89,1.0,3,1.0,1.0,True,4636.0,0.53796375,0.60000378,0.01799047,0.00078051985,115736.8929836919,91200,0.6610348581119211,0.056858778,0.10692714,0.19258267,0.28368446,0.35994703,0.18170768,0.083429106,0.011291191,0.0007561809,0.67439616,57692.26024983373,48900,52100,0.076709002,0.084054589,0.094053984,0.1456452,0.25548843,0.42075783,0.24153325,0.12799577,0.021801345,0.616907,0.62555027,0.66139841,0.67424715,0.70505911,0.091911897,0.1444508,0.2015675,0.24566357,0.31640619,0.10728628,0.11557589,0.18497618,0.2648176,0.32734406,0.077447727,0.098839357,0.17105864,0.27518603,0.3774682,0.080861032,0.089143291,0.14735472,0.262436,0.42020494,0.081963904,0.081009619,0.11018337,0.23825461,0.48858845,0.013727342,0.015033211,0.013409171,0.015564482,0.034492828,0.51193428,0.54368675,0.60936487,0.61019582,0.61760408,0.0,False,True,2,7959.4863,13766.231,False,False,24980,32660.0,16622.15,6983.5005,0.7219892150988616,0.6023946121227238,8799.7324,65851.01480051481,1201.04,1132.9808,18500.162,0.35185936,48200.0,42067.832,469947684.0,263602720.0,0.034576386,0.076968484,0.011065296,0.0079871677,16.846298,14.761012,8.5051546,8.0365515,5.2249298,22.774132,23.851921,0.0
125,University Of Massachusetts System,31520,1940,3125,4934,8234,13287,0.0063135,0.0046392,0.00608,0.0062829,0.0049794,0.0074509,0.0002085,256,830,1.0,5,1.0,1.0,True,6839.333333333333,0.51549858,0.54373878,0.020928269,0.00062992959,123207.0170559082,100000,0.6844206894945362,0.057736896,0.099858306,0.15718114,0.25859433,0.42662925,0.22047611,0.092818469,0.011134544,0.00096298137,0.67960954,58144.61870788759,51700,55100,0.080295995,0.087300882,0.098014787,0.12518537,0.23603459,0.4534643,0.24287379,0.12086326,0.021816004,0.62011999,0.64081615,0.66256994,0.68346167,0.70068347,0.12324855,0.12402717,0.14510138,0.24514629,0.36247653,0.11374646,0.10631536,0.14982814,0.23917118,0.39093888,0.090872869,0.097946376,0.14862293,0.25790653,0.40465122,0.081454784,0.094036624,0.12802647,0.24429896,0.45218316,0.078473553,0.094988123,0.10636507,0.22099984,0.49917343,0.010910347,0.014614388,0.015831359,0.01773488,0.02965614,0.4345302,0.46175927,0.51908058,0.55809891,0.57808733,0.0,False,True,4,5556.478,9341.7715,False,False,54669,57073.0,12562.347,4640.9673,0.6141571685662868,0.5470410915437094,10927.741,78094.72349795533,1135.528,1073.8521,10574.33,0.33654049,47924.445,5873.7588,688141735.0,387839104.0,0.063558467,0.056530055,0.033604827,0.026846336,11.871601,19.87001,8.170845,7.7198567,4.1650085,20.082239,28.12044,0.0
133,University Of Maine System,20796,2153,3595,5147,5755,4146,0.003366,0.0013934,0.0027816,0.0023315,0.0038228,0.0055475,0.0,102,51,1.0,5,1.0,1.0,True,4470.666666666667,0.56717867,0.55241311,0.013956944,0.00052320998,88180.05036650947,72600,0.5681263416241149,0.097396366,0.16574511,0.24548033,0.28926125,0.20211698,0.086686321,0.039024718,0.0055598435,0.00037469703,0.56202447,38128.01698368299,34300,37100,0.10090663,0.11082093,0.16051961,0.24691725,0.27361339,0.20812885,0.090017557,0.035990041,0.0052734856,0.49747542,0.52415341,0.55334979,0.58584315,0.60063279,0.17095463,0.22009744,0.24668056,0.21896693,0.14330046,0.13069843,0.1938881,0.26715738,0.26005873,0.14819731,0.11084923,0.1585474,0.27021176,0.27464432,0.18574733,0.091772206,0.14200233,0.24384177,0.28831613,0.23406753,0.092770495,0.13334297,0.2065427,0.28876781,0.27857605,0.0053719659,0.0027046264,0.0039760424,0.0044141561,0.010138251,0.4609499,0.51509804,0.5550217,0.57781881,0.5875597,0.0,False,True,4,3787.5054,6099.4873,False,False,26315,32372.0,8771.7246,4233.0703,0.4605543710021323,0.4612844036697247,7847.3403,50717.38570167696,1030.434,1039.0848,12005.632,0.18973465,34186.586,8550.8145,195746330.0,134089216.0,0.0079579679,0.0054254183,0.0053299521,0.018267764,7.0079384,13.304134,14.618122,11.880646,4.4073362,16.479605,32.302219,0.0
1051,University Of Alabama,13883,886,1338,1917,3279,6463,0.0018008,0.0,0.0014948,0.0020866,0.0024398,0.001702,7.09e-05,26,47,1.0,5,1.0,3.0,False,2843.666666666667,0.54905641,0.62557709,0.016160509,0.00057637325,152857.9702976644,106100,0.700282314844895,0.064959638,0.096593529,0.13487202,0.23709644,0.46647847,0.26946694,0.1562501,0.032817472,0.0021425865,0.63923728,56930.8876528433,44300,48100,0.10059681,0.11030798,0.10935071,0.15485986,0.25261346,0.37286812,0.21290042,0.11362699,0.024776829,0.5883562,0.60212755,0.64072353,0.64524537,0.65052348,0.10631279,0.14738572,0.2353261,0.2621977,0.24877769,0.11893499,0.12352107,0.19358395,0.27515465,0.28880537,0.090840943,0.10361364,0.20216356,0.24930221,0.35407957,0.10363387,0.099421211,0.15138176,0.28179535,0.3637678,0.11809862,0.10782545,0.12372686,0.23273626,0.41761282,0.0088727903,0.013438055,0.01823145,0.018946979,0.034195047,0.42343509,0.44395322,0.61371076,0.65508109,0.67976999,0.0,False,True,4,5788.3608,8556.168,False,True,29440,19277.0,9826.0,3014.0,0.6665164488508337,0.6276232308443143,9605.0,58872.080872914,1120.0,1095.0,17206.0,0.43450001,42400.0,16166.646,270367454.0,114105968.0,0.010510511,0.14499281,0.0086173126,0.02441572,7.8240561,36.278709,7.395874,4.0093422,4.0482678,12.339432,28.104321,0.0
1055,University Of Alabama In Huntsville,3061,243,349,587,891,991,0.0075139,0.0041152,0.008596,0.0034072,0.0089787,0.0090817,0.0,20,28,1.0,5,1.0,3.0,False,636.3333333333334,0.49869043,0.61150283,0.023543155,0.0,104579.673765715,91300,0.6476641732900789,0.07948333,0.10375337,0.17914931,0.28524745,0.35236657,0.15242845,0.049637221,0.0076836823,0.0,0.63438141,48798.27596459207,45800,50800,0.10770962,0.12072598,0.1141942,0.14854673,0.21627776,0.40025532,0.21226069,0.075785786,0.0048436499,0.57118887,0.59290165,0.6463244,0.65569812,0.63752109,0.13812336,0.17403618,0.20319651,0.18844154,0.29620242,0.13047723,0.14918308,0.17261235,0.25355688,0.29417047,0.11151754,0.11142953,0.1583374,0.2142062,0.40450937,0.11032673,0.089688197,0.15751541,0.23050112,0.41196853,0.12703054,0.11163695,0.11689524,0.20111917,0.44331804,0.0,0.0,0.0059439186,0.0018571744,0.0092206448,0.4754059,0.50516897,0.62427205,0.65714282,0.63007337,0.0,False,True,4,4170.2168,6943.6772,False,False,5696,6563.0,9158.0,3284.0,0.4835309617918314,0.3658536585365854,9341.0,56806.54873646209,1185.0,1120.5,14652.0,0.1938,46600.0,6423.7124,54238497.0,29301748.0,0.03659004,0.14348659,0.018582376,0.040996168,8.9153042,23.922733,16.939079,0.1485884,0.0,40.861813,9.2124805,0.0
