,0
0,upper_class
1,inventor
2,lower_class_inventor
3,top5citedinventors
4,total_cites
5,tier_x
6,region_x
7,par_q2
8,par_q4
9,par_top1pc
10,kq1_cond_parq1
11,kq2_cond_parq1
12,kq3_cond_parq1
13,kq4_cond_parq1
14,kq2_cond_parq2
15,kq3_cond_parq2
16,kq4_cond_parq2
17,kq3_cond_parq4
18,kq1_cond_parq5
19,kq4_cond_parq5
20,ktop1pc_cond_parq3
21,ktop1pc_cond_parq5
22,barrons
23,exp_instr_pc_2000
24,sticker_price_2013
25,sticker_price_2000
26,grad_rate_150_p_2013
27,grad_rate_150_p_2002
28,avgfacsal_2013
29,avgfacsal_2001
30,scorecard_netprice_2013
31,scorecard_rej_rate_2013
32,endowment_pc_2000
33,exp_instr_2012
34,exp_instr_2000
35,black_share_fall_2000
36,hisp_share_fall_2000
37,alien_share_fall_2000
38,pct_arthuman_2000
39,pct_business_2000
40,pct_health_2000
41,pct_stem_2000
42,pct_tradepersonal_2000
