college_name,total_students,lower_class,lower_middle_class,middle_class,upper-middle_class,upper_class,inventor,lower_class_inventor,lower-middle_class_inventor,middle_class_inventor,upper_middle_class_inventor,upper_class_inventor,top5citedinventors,total_patents,total_cites,tier,region,count,female,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,barrons,exp_instr_pc_2000,exp_instr_pc_2013,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000
University Of Hawaii And Hawaii Community Colleges,27002,3205,4527,5628,6957,6685,0.001037,0.000312,0.0006627,0.000533,0.0007187,0.0023934,6.9e-05,22,55,5,4.0,5860.333333333333,0.52249587,0.017558586,0.00028338036,88667.91568267945,75200,0.10804315,0.16466863,0.21406829,0.26126996,0.25195,0.095550217,0.033389255,0.0045872247,0.00033712146,38812.30062683081,35600,39500,0.118687,0.13144912,0.14889038,0.21300572,0.27083701,0.23581779,0.10341482,0.039504401,0.0032624404,0.49833518,0.54194605,0.55119717,0.58954531,0.5979501,0.17890859,0.19025581,0.25364596,0.21467508,0.16251457,0.146209,0.16324069,0.22310919,0.26656386,0.20087723,0.13582498,0.15896252,0.22519937,0.27534613,0.20466706,0.10708243,0.1339041,0.21353556,0.29357272,0.25190514,0.12300055,0.12875555,0.17806493,0.27030569,0.29987323,0.0026228444,0.0017300138,0.0026813976,0.0022040375,0.0061295107,0.40867454,0.42178002,0.43480551,0.44930387,0.44589067,3,5207.2744,7919.5024,52848,44579.0,5409.6592,1969.9886,0.2884386384656721,0.3048724963685285,8433.6689,55337.16477366557,5085.373,0.21167371,35276.055,Medium Endowment,91131281.4833674,67457999.93570964,0.71655345,0.011713986,0.018802796,0.039462555,6.6817074,23.255814,6.7164178,23.654982,5.1023951,11.714683,17.216244,5.6577578
University Of Colorado System,31081,1205,2257,3697,6042,17880,0.0084618,0.0033195,0.0035445,0.0059508,0.0076134,0.0102349,0.0005655,513,1230,5,4.0,6414.666666666667,0.51252341,0.012256199,0.00050701405,274593.0041246623,128200,0.037007682,0.067937747,0.12318254,0.193055,0.57881707,0.41382456,0.27911937,0.082355857,0.010595883,60883.52901107163,48300,53200,0.10284811,0.11231558,0.11524305,0.13718545,0.21272942,0.42252654,0.25802237,0.14976387,0.034540001,0.60181803,0.6234625,0.62053776,0.63790244,0.66933161,0.13605069,0.14138977,0.15306109,0.23831856,0.33117989,0.1230427,0.12924488,0.15635392,0.22204629,0.36931217,0.12583187,0.13302852,0.1539617,0.22541566,0.36176226,0.11654599,0.11682189,0.14609669,0.23407394,0.38646153,0.10525146,0.10761619,0.12737808,0.2001808,0.45957348,0.013700237,0.017645342,0.024563365,0.019050818,0.045144778,0.51110262,0.52684015,0.55252534,0.55951917,0.57992721,3,4771.0576,12817.367,48326,49755.0,9537.6387,3071.1389,0.5752182818580093,0.566076364337178,9471.7119,64700.46481911131,11813.776,0.14849794,53648.348,Large Endowment,301497273.6385797,162719814.9653301,0.067123838,0.026558535,0.070961647,0.02418481,14.131591,18.948488,1.291597,4.2242818,0.0,25.528034,35.876007,0.0
Louisiana State University System,29927,2611,3590,4783,7340,11603,0.0025395,0.001532,0.0005571,0.0022998,0.0023161,0.0036198,3.93e-05,87,118,5,3.0,6189.333333333333,0.55999571,0.02137957,0.0014574247,127727.5356476869,94300,0.086616978,0.11423227,0.15894826,0.25059152,0.38961095,0.2145402,0.10877602,0.019956596,0.0015831006,57413.20400647283,44000,48300,0.1020638,0.11183837,0.11932924,0.15423398,0.23886713,0.37573129,0.2246685,0.13188858,0.029648913,0.57281911,0.58348101,0.61318004,0.64224178,0.67087436,0.13116327,0.16558117,0.23721416,0.21921258,0.24682885,0.12617993,0.16594717,0.19230886,0.23671621,0.27884784,0.12175331,0.12776786,0.17684011,0.24693632,0.32670239,0.10445683,0.10945462,0.15537201,0.25813878,0.37257785,0.10403995,0.098287024,0.11466821,0.22818014,0.45482472,0.016826086,0.011319906,0.016651552,0.022754211,0.047610678,0.40842089,0.50907201,0.5894565,0.62542522,0.65559375,3,4458.7148,7388.106,29807,36617.0,8077.8491,3254.4277,0.602048274476293,0.5413702827636417,8501.7021,57258.81570435836,5583.5962,0.25032195,43466.324,Small Endowment,198242026.3166035,141278863.6863206,0.033144403,0.11016522,0.022056052,0.023852993,6.8748541,22.558844,6.385458,9.2985315,1.7478443,26.963411,26.171057,0.0
University Of South Carolina System,22910,2172,3249,4203,5648,7638,0.0018769,0.0,0.0021545,0.0019034,0.0012394,0.0027494,4.91e-05,42,148,5,3.0,4538.666666666667,0.58188897,0.016827494,0.00044944926,109065.3249308029,85400,0.093693405,0.13901599,0.18579093,0.25298145,0.32851827,0.16756356,0.07979966,0.011948984,0.00064700464,46555.86691208872,39600,42300,0.093917899,0.10365765,0.12851502,0.19761592,0.27978373,0.29042774,0.15084982,0.073672086,0.014841774,0.54977,0.57910854,0.57862735,0.60822624,0.65171134,0.1096435,0.17998955,0.26381758,0.26694772,0.17960168,0.10014457,0.15229206,0.24324267,0.28351927,0.22080144,0.1211894,0.13895154,0.21235275,0.28739673,0.24010955,0.10582192,0.1152392,0.19212367,0.30803782,0.27877742,0.091855466,0.10809395,0.15532285,0.25580075,0.38892701,0.0047970214,0.0074547534,0.0067410921,0.0092112757,0.029749574,0.37731916,0.44111532,0.5570603,0.61969906,0.63966709,3,5584.9351,8421.0615,38627,35048.0,10372.989,3608.8394,0.577945095409281,0.5218190993330202,8197.8281,60577.40219612482,9975.8447,0.3740499,39789.398,Large Endowment,185906681.6989929,119830763.4167142,0.024241015,0.20077425,0.015144877,0.018224228,7.6246977,22.808174,7.6686444,19.490221,4.0430675,13.469567,24.895628,0.0
"West Virginia University, West Virginia University Institute Of Technology, West Virginia University - Parkersburg, And Potomac State College",21615,1695,2900,4443,5754,6823,0.0025908,0.0023599,0.002069,0.0024758,0.0022593,0.0032244,9.97e-05,80,70,5,3.0,4418.666666666667,0.47450212,0.016364807,0.00068705872,109372.1535890587,86700,0.076165147,0.12154557,0.19877377,0.27477086,0.32874465,0.16207333,0.075873308,0.012364236,0.00046025627,51563.24542129508,42700,46700,0.093555547,0.10251215,0.12547353,0.16787878,0.25027171,0.35386387,0.19818248,0.10187144,0.01919727,0.52107221,0.57418716,0.60699111,0.64521956,0.67747176,0.17927639,0.1823087,0.22394158,0.19961387,0.21485953,0.13207692,0.15392812,0.19759132,0.25811559,0.25828806,0.10568647,0.13872671,0.19518547,0.26905969,0.29134172,0.0876991,0.11577108,0.16738608,0.25609693,0.3730469,0.084257856,0.1018813,0.12780534,0.24287939,0.44317612,0.0090206442,0.0089333123,0.012095166,0.016986284,0.031492129,0.49523807,0.51640677,0.59915692,0.62547797,0.61277258,4,5070.0688,9680.9404,29100,28700.0,6243.6421,2642.6992,0.5170446579924879,0.5265860617705669,8466.8828,54262.1504127931,6928.2788,0.16621982,42151.66,Medium Endowment,266455466.1578305,123772789.6102909,0.014731006,0.039834619,0.0099595683,0.018959012,5.4956894,18.022629,12.661638,16.217672,2.3976293,23.302801,19.800646,2.1012931
University Of Nebraska System,28559,1388,3454,6116,8661,8940,0.0041318,0.0014409,0.0026057,0.0037606,0.0046184,0.0049217,0.0001152,132,270,5,2.0,5828.666666666667,0.51738536,0.012720068,0.00040815069,115012.8428497262,89400,0.044165567,0.10762726,0.20541333,0.31616646,0.32662731,0.15296221,0.073566742,0.0122106,0.0010036059,52762.25348336705,45200,47400,0.069118947,0.075967759,0.10052973,0.16530043,0.30176929,0.3564328,0.17957312,0.090472244,0.017973633,0.60891646,0.63124043,0.64404017,0.65840924,0.67433268,0.10214936,0.13383469,0.19078988,0.28521734,0.28800872,0.08339268,0.13098602,0.16962232,0.29292035,0.32307866,0.07710363,0.099470735,0.18056169,0.33047387,0.31239012,0.07070636,0.095784269,0.16854116,0.31293935,0.35202894,0.074359544,0.091250174,0.14769509,0.27805889,0.40863636,0.0092413779,0.011788421,0.011174255,0.015123287,0.028227614,0.61391217,0.66926014,0.69457865,0.70069104,0.69114262,3,4450.4966,7258.0063,37513,42487.0,7393.4087,3206.3628,0.5850143454154636,0.489405044154529,8866.502,61393.69949133733,10589.998,0.30647621,42409.016,Large Endowment,222105156.6330895,141767777.8808647,0.019008823,0.030850995,0.020437011,0.028347135,8.4330893,26.47847,2.5906737,2.8944077,4.5917459,24.155798,30.194748,0.66106844
"Minnesota State University System, Century And Various Other Minnesota Community Colleges",129373,10815,19736,31377,39789,27656,0.002002,0.0010171,0.0016214,0.0024859,0.0019603,0.0021695,9.22e-05,471,1430,5,2.0,26989.66666666667,0.51313466,0.011335982,0.00011098021,88906.11874114245,77500,0.078339107,0.14504682,0.2387321,0.31623894,0.221643,0.08415401,0.034085199,0.0044218893,0.00029342287,39807.06896977933,36900,39200,0.07858251,0.089287445,0.14746161,0.23372549,0.29875457,0.23077086,0.085877188,0.031230705,0.0037686445,0.51269197,0.55119509,0.57519424,0.60408252,0.61850262,0.13369586,0.21377236,0.25734019,0.2504876,0.144704,0.10481972,0.17387137,0.26255473,0.28244331,0.17631093,0.087848283,0.15201403,0.25664988,0.29995269,0.20353508,0.078183122,0.13064393,0.22505149,0.31620926,0.24991222,0.080820575,0.12583321,0.19419673,0.30029407,0.29885542,0.0014166642,0.0018572777,0.0022856484,0.0033972901,0.0079779597,0.46976554,0.54162079,0.59241188,0.61783838,0.59962678,4,2955.5815,3677.9604,191906,157950.0,6092.1465,2786.9924,0.3119998659179599,0.3314382936942892,7281.127,52119.23959868375,10952.874,0.2317386,36414.68,Small Endowment,30172551.12704694,21526992.42061048,0.02275412,0.032266382,0.011093568,0.019277658,3.4738305,21.192471,15.604868,17.861805,5.6802392,8.8172131,11.520485,15.849089
ITT Technical Institute,37778,7779,9353,8976,7660,4010,0.0015618,0.0007713,0.0013899,0.0015597,0.0019582,0.0027431,2.84e-05,88,234,10,2.0,8164.0,0.14208721,0.036342092,0.00032786111,65233.37010538518,52600,0.19454643,0.24163291,0.23998652,0.20959161,0.11424254,0.039401732,0.014545076,0.0024701527,0.00020664975,38044.73506336253,35600,39400,0.11611271,0.12730548,0.15361995,0.21398401,0.27025813,0.23483247,0.090300806,0.0304699,0.0021756683,0.52651131,0.54935372,0.569318,0.59652752,0.59046632,0.16011354,0.18185927,0.21995857,0.25126448,0.18680421,0.13254061,0.16557425,0.22899891,0.26713613,0.20575008,0.11749142,0.15043145,0.22384563,0.27694923,0.23128229,0.10235094,0.13138361,0.20034665,0.28875616,0.27716264,0.12676133,0.12773928,0.17635518,0.26121351,0.30793074,0.0016852589,0.0011921921,0.0021908525,0.00191509,0.0055371015,0.3473275,0.38994485,0.42725062,0.48574656,0.45048732,999,3200.1123,3865.4163,57946,28104.0,17969.166,10786.409,0.1785034753284374,0.398848804779954,5281.8848,36814.116287235,22333.129,0.14651169,38475.297,Community College,3335295.587877688,1934264.576537148,0.036838803,0.12064063,0.14878646,0.066688441,1.5937804,0.87463558,0.0,0.0,0.0,72.108841,0.0,25.422741
University Of Pittsburgh System,22009,1188,2540,4322,6156,7803,0.0065428,0.0050505,0.0082677,0.005553,0.0063353,0.0069204,0.0001806,206,89,3,1.0,4636.0,0.53796375,0.01799047,0.00078051985,115736.8929836919,91200,0.056858778,0.10692714,0.19258267,0.28368446,0.35994703,0.18170768,0.083429106,0.011291191,0.0007561809,57692.26024983373,48900,52100,0.076709002,0.084054589,0.094053984,0.1456452,0.25548843,0.42075783,0.24153325,0.12799577,0.021801345,0.616907,0.62555027,0.66139841,0.67424715,0.70505911,0.091911897,0.1444508,0.2015675,0.24566357,0.31640619,0.10728628,0.11557589,0.18497618,0.2648176,0.32734406,0.077447727,0.098839357,0.17105864,0.27518603,0.3774682,0.080861032,0.089143291,0.14735472,0.262436,0.42020494,0.081963904,0.081009619,0.11018337,0.23825461,0.48858845,0.013727342,0.015033211,0.013409171,0.015564482,0.034492828,0.51193428,0.54368675,0.60936487,0.61019582,0.61760408,2,7959.4863,13766.231,24980,32660.0,16622.15,6983.5005,0.7219892150988616,0.6023946121227238,8799.7324,65851.01480051481,18500.162,0.35185936,48200.0,Large Endowment,469947684.0,263602720.0,0.034576386,0.076968484,0.011065296,0.0079871677,16.846298,14.761012,8.5051546,8.0365515,5.2249298,22.774132,23.851921,0.0
University Of Massachusetts System,31520,1940,3125,4934,8234,13287,0.0063135,0.0046392,0.00608,0.0062829,0.0049794,0.0074509,0.0002085,256,830,5,1.0,6839.333333333333,0.51549858,0.020928269,0.00062992959,123207.0170559082,100000,0.057736896,0.099858306,0.15718114,0.25859433,0.42662925,0.22047611,0.092818469,0.011134544,0.00096298137,58144.61870788759,51700,55100,0.080295995,0.087300882,0.098014787,0.12518537,0.23603459,0.4534643,0.24287379,0.12086326,0.021816004,0.62011999,0.64081615,0.66256994,0.68346167,0.70068347,0.12324855,0.12402717,0.14510138,0.24514629,0.36247653,0.11374646,0.10631536,0.14982814,0.23917118,0.39093888,0.090872869,0.097946376,0.14862293,0.25790653,0.40465122,0.081454784,0.094036624,0.12802647,0.24429896,0.45218316,0.078473553,0.094988123,0.10636507,0.22099984,0.49917343,0.010910347,0.014614388,0.015831359,0.01773488,0.02965614,0.4345302,0.46175927,0.51908058,0.55809891,0.57808733,4,5556.478,9341.7715,54669,57073.0,12562.347,4640.9673,0.6141571685662868,0.5470410915437094,10927.741,78094.72349795533,10574.33,0.33654049,47924.445,Medium Endowment,688141735.0,387839104.0,0.063558467,0.056530055,0.033604827,0.026846336,11.871601,19.87001,8.170845,7.7198567,4.1650085,20.082239,28.12044,0.0
